"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"TP4,TP3,TP1,TP2";"TestPoint_Pad_D1.5mm";4;"TestPoint";;;
2;"H74,H73,H72,H71,H70,H69,H68,H67,H66,H65,H64,H63,H62,H61,H60,H59,H58,H57,H56,H55,H54,H53,H52,H51,H50,H49,H48,H47,H46,H45,H44,H43,H42,H41,H40,H39,H38,H37";"MountingHole_2.2mm_M2";38;"MountingHole";;;
3;"D1";"LED_1206_3216Metric";1;"LED_PINK/GRN";;;
4;"C25,C21,C22,C20";"C_0603_1608Metric";4;"4.7uF";;;
5;"U27,U20,U24,U22,U40,U42,U25,U28,U37,U15,U19,U32,U13,U26,U35,U29,U11,U30,U9,U14,U17,U31,U12,U7,U41,U10,U38,U33,U39,U16,U34,U36,U8,U23,U21,U18";"NeoPixel_3535";36;"Neopixel";;;
6;"R2,R1";"R_0402_1005Metric";2;"5.1k";;;
7;"SW20,SW34,SW14,SW27,SW29,SW30,SW33,SW37,SW6,SW22,SW9,SW16,SW24,SW28,SW35,SW15,SW3,SW32,SW5,SW36,SW8,SW23,SW7,SW26,SW18,SW4,SW12,SW11,SW19,SW2,SW21,SW17,SW31,SW25,SW13,SW10";"Silicone Button Ring_L";36;"SW_DIP_x01";;;
8;"D25,D14,D38,D5,D39,D13,D6,D10,D34,D8,D24,D37,D15,D30,D31,D12,D18,D23,D33,D29,D4,D7,D16,D21,D9,D36,D11,D20,D35,D22,D17,D26,D28,D19,D27,D32";"D_0402_1005Metric";36;"1N4148";;;
9;"C16,C11,C12,C9,C7,C14,C17,C15,C6,C13";"C_0402_1005Metric";10;"100n";;;
10;"C1,C3,C2";"C_0805_2012Metric";3;"10u";;;
11;"R14,R13";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"4.7k";;;
12;"U1";"RP2040-QFN-56";1;"RP2040";;;
13;"H2,H28,H20,H24,H15,H32,H33,H9,H17,H18,H22,H27,H8,H26,H11,H31,H3,H7,H35,H5,H16,H13,H14,H30,H25,H10,H1,H19,H36,H6,H23,H34,H4,H29,H12,H21";"MountingHole_3.2mm_M3";36;"MountingHole";;;
14;"R7,R5";"R_0402_1005Metric";2;"1k";;;
15;"C24,C26";"C_0402_1005Metric";2;"220pF";;;
16;"R10,R9";"R_0402_1005Metric";2;"100k";;;
17;"RN1";"R_Array_Convex_4x0612";1;"R_Pack04_Split";;;
18;"C19";"C_0402_1005Metric";1;"1uF";;;
19;"JP3,JP1";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm";2;"SolderJumper_3_Open";;;
20;"R6";"R_0402_1005Metric";1;"DNF";;;
21;"X1";"Jack_3.5mm_CUI_SJ1-3525N_Horizontal";1;"AudioJack2_Ground_Switch";;;
22;"R3,R4";"R_0402_1005Metric";2;"27.4";;;
23;"FB2,FB1";"C_0402_1005Metric";2;"60Ohm";;;
24;"R11";"R_0402_1005Metric";1;"2k";;;
25;"U2";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
26;"J4";"PinSocket_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
27;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
28;"R15";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"DNF";;;
29;"F1";"Fuse_0402_1005Metric_Pad0.77x0.64mm_HandSolder";1;"0.75A";;;
30;"SW1";"SW_SPST_PTS810";1;"SW_MEC_5E";;;
31;"Y1";"Crystal_SMD_HC49-SD";1;"Crystal";;;
32;"C27";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"0.1u";;;
33;"SW39";"SK-14D01 SP4T Switch";1;"SK-14D01";;;
34;"C23";"C_0402_1005Metric";1;"0.1uF";;;
35;"R17,R16";"R_0603_1608Metric";2;"330";;;
36;"U5";"SOT-23-5";1;"MCP73831-2-OT";;;
37;"J5";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
38;"U4";"QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias";1;"NAU8315";;;
39;"R8";"R_0603_1608Metric";1;"220/100";;;
40;"C10,C8";"C_0402_1005Metric";2;"1u";;;
41;"C28,C29";"CP_Elec_6.3x5.2";2;"100uF";;;
42;"R12";"R_0402_1005Metric";1;"470";;;
43;"C5,C4";"C_0402_1005Metric";2;"27p";;;
44;"C18";"C_0805_2012Metric";1;"10uF";;;
45;"D3";"LED_1206_3216Metric";1;"LED_ORANGE";;;
46;"U3";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
47;"U6";"LGA-12_2x2mm_P0.5mm";1;"MC3416";;;
48;"SW38";"EG1206A";1;"PWR";;;
49;"J1";"GCT_USB4105-GF-A";1;"USB_C_Receptacle";;;
50;"J2";"MOLEX_1051620001";1;"1051620001";;;
